index,scenario,test_size,scaling,model,accuracy_mean,accuracy_std,f1_weighted_mean,f1_weighted_std,kappa_mean,kappa_std,roc_auc_ovr_mean,roc_auc_ovr_std
26,multi_class,0.3,minmax,Hybrid SVM-DT,0.8857407407407407,0.010737547418017947,0.8835331245702847,0.0107911864342068,0.8575349382808519,0.013650123218469491,0.9834623702387806,0.0005446220652839607
27,multi_class,0.3,minmax,KNN,0.8957407407407407,0.004975936608349759,0.8904529742322815,0.004542151549977543,0.8692169512436332,0.006031269648810077,0.9706474080187302,0.002195442141448126
28,multi_class,0.3,minmax,SVM,0.9403703703703703,0.005761610809668111,0.9392472481175793,0.005981068863817198,0.9257327493493519,0.007166372640575802,0.9906696406444959,0.0015092261846833216
29,multi_class,0.3,minmax,XGBoost,0.9131481481481482,0.003928371006591917,0.9112371797082025,0.004377015711161071,0.8917049641240846,0.004869972840576838,0.9869351689396055,0.0002656452506686589
30,multi_class,0.3,none,DT,0.7387037037037036,0.015451592625928334,0.7341321930240144,0.015364910688664852,0.6735629094443453,0.020361836014619997,0.8643619358219113,0.022109945723392962
31,multi_class,0.3,none,Hybrid KNN-SVM,0.9416666666666667,0.003928371006591917,0.940437429360575,0.003954758136260368,0.9273872000043293,0.004874342161199294,0.989393301660329,0.0009450656420856104
32,multi_class,0.3,none,Hybrid SVM-DT,0.892037037037037,0.009166199015381205,0.8899837517421125,0.00913968138176778,0.8654614799398754,0.01165940647450851,0.9828426556504252,0.0006782728325783605
33,multi_class,0.3,none,KNN,0.9053703703703704,0.0034045882057130153,0.9012569150762826,0.003516041920206078,0.8816843173101007,0.004224960569730581,0.9707249586712128,0.0041856083223867305
34,multi_class,0.3,none,SVM,0.9416666666666667,0.0028808054048341143,0.9405375354749708,0.002850705651790546,0.927372743338511,0.003529482101259995,0.9901218999090052,0.0010945128210251291
35,multi_class,0.3,none,XGBoost,0.9111111111111111,0.0026189140043946634,0.9090891714896532,0.003005739124425244,0.8891557382036899,0.0032066795979793657,0.9868495994660982,0.0005716781362414071
36,multi_class,0.3,robust,DT,0.7387037037037036,0.015451592625928334,0.7341321930240144,0.015364910688664852,0.6735629094443453,0.020361836014619997,0.8643619358219113,0.022109945723392962
37,multi_class,0.3,robust,Hybrid KNN-SVM,0.9411111111111111,0.00628539361054713,0.9399244109976115,0.00655780672066933,0.9266882753683001,0.0077901316341744565,0.9896750883447478,0.0011072475568624715
38,multi_class,0.3,robust,Hybrid SVM-DT,0.8883333333333333,0.011261330218896849,0.8862041560026601,0.011280232335080263,0.8608182942459786,0.014296099248060789,0.9835219791648058,0.0005292473485171917
39,multi_class,0.3,robust,KNN,0.8968518518518518,0.004975936608349759,0.8914703589843869,0.004581845123144613,0.8706251802673997,0.00604604449523108,0.9705841227606439,0.0022882909080116317
40,multi_class,0.3,robust,SVM,0.9418518518518518,0.004190262407031367,0.9407291434595132,0.004316981286546744,0.9276092204117561,0.005182119662720509,0.9906619889363953,0.0014018968098242995
41,multi_class,0.3,robust,XGBoost,0.9111111111111111,0.0026189140043946634,0.9090891714896532,0.003005739124425244,0.8891557382036899,0.0032066795979793657,0.9868495994660982,0.0005716781362414071
42,multi_class,0.3,standard,DT,0.7387037037037036,0.015451592625928334,0.7341321930240144,0.015364910688664852,0.6735629094443453,0.020361836014619997,0.8643619358219113,0.022109945723392962
43,multi_class,0.3,standard,Hybrid KNN-SVM,0.9409259259259259,0.006023502210107679,0.9397356108385682,0.00624560200460358,0.9264627021893963,0.007449680736540492,0.9897052217270104,0.0010669112822869397
44,multi_class,0.3,standard,Hybrid SVM-DT,0.887962962962963,0.011261330218896849,0.8858565987282985,0.011328637030933003,0.8603451026378017,0.01429817556686101,0.9835342154844623,0.0005236546347778911
45,multi_class,0.3,standard,KNN,0.897962962962963,0.003928371006591917,0.8926658039364819,0.003576464283278128,0.8720218393134402,0.004698981466507351,0.9694021335710077,0.0031162780188338447
46,multi_class,0.3,standard,SVM,0.9418518518518519,0.004714045207910386,0.9407019030570027,0.004862455392571112,0.9275999925375372,0.005836789547313344,0.990668866265116,0.001387695577498431
47,multi_class,0.3,standard,XGBoost,0.9111111111111111,0.0026189140043946634,0.9090891714896532,0.003005739124425244,0.8891557382036899,0.0032066795979793657,0.9868495994660982,0.0005716781362414071
